Title,Product,Application ,Defect ID,Core Patch/Charts,Custom ms/Module/VM/Orchestration Zip,Comments/Instructions,Commit ID,Dependency,Released,Release Date,Item Type,Path
1,C1;#D1;#iPaaS;#R1;#BriteBill;#NEO;#MMap,OC;#C1;#RTB;#OH;#SkyFM;#Sky-Smart;#Sky-View;#Sky-Force;#OSO;#OUA;#MMAP;#BriteBill,NA,,,"
New/Updated External Interfaces
Please refer to the following table containing the list of features and new/changed API/Kafka External integration:
 PI15 External Interfaces.xlsx
","
NA",NA,TRUE,5/1/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.00,D1,OH;#OC,NA,"
NA","
error-management
orderexecution-archive
numberportability-npsimulator","
Uninstall below 3 MSs and delete all resources related to these MSs:  
error-management
orderexecution-archive
numberportability-npsimulator
","

edff8f982f9",NA,TRUE,6/7/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.00,NEO,OSO,ITR15.5 Baseline,"
oni-federation- 1.0.699-48
onsi-2.0.1461-24
ops-ui-1.0.837-14
run-time-catalog-1.0.289-11
persistence-10.7.242
platform-10.7.193.1
platform-config-10.7.87ms360-security-10.7.79
nap-common-10.6.349","

Orchestration Zip: 

http://10.247.24.32:8081/repository/att.maven.snapshot/com/amdocs/oss/att/customization/att-orchestration/10.4-Support1-SNAPSHOT/att-orchestration-10.4-Support1-20230707.201842-5-src.zip
 

Build: (In Progress)
http://ilososp030.corp.amdocs.com:7070/view/ATT/job/ATT_Storage_Creation_10.4/





","
?TLC Version: 10.4.304-Support1
Reference Images:
ATT MSs Image: 10.4-Support1-SNAPSHOT-117Customization Image: 10.4-Support1-SNAPSHOT-211-
ONI Image: 10.4-Support1-SNAPSHOT-17
Reference Env:
Master IP = 10.247.25.15Node1 IP = 10.247.25.35



Backup Build:
http://os-delivery-jenkins:8080/job/Utility/job/backupOldCharts/31/
http://os-delivery-jenkins:8080/job/Utility/job/backupDockersWithoutDeploy/271/
Note :-This build is from Core Version 22.12
SSO Integration Issue Fix

Following additional IAAS file changes are needed for SSO integration :-

Att-dop        IAAS file :-New Role added
        -external:
           id:'""[UI:insight]""'
         internal:
           id: UI:insightNew changes added        under nap-onp
nap-onp:
    config:
      sso:
        ms360:
          enabled: true
    onp:
      portal:
        ms360gw:
          enabled: true
      config:
        sso:
          ms360:
            enabled: trueNap-common        override changes :-
napui:
  insight:
    enabled: true
    config:
     apigwSecurityEnabled: true
        authorized:
          internal:
            role: UI:insight  Ms360        override changes :-

contentTypesWhiteList: application/json|application/merge-patch+json|application/json-patch+json|application/x-www-form-urlencoded|text/plain|multipart/form-data|text/html|text/html;charset=utf-8|application/octetstream|application/json;charset=utf-8|application/json-patch+json;charset=utf-8|text/xml|application/soap+xml;charset=UTF-8|text/xml;charset=UTF-8|image/gif|image/jpeg|image/tiff|image/png|image/bmp|image/x-msbmp|application/vnd.ms-word|application/msword|application/vnd.ms-word|application/msword|application/vnd.openxmlformats-officedocument.wordprocessingml.document|application/pdf|application/x-pdf|application/vnd.msexcel|application/msexcel|application/x-tika-ooxml|application/vnd.ms-spreadsheetml|application/vnd.msexcel|application/msexcel|application/x-tika-ooxml|application/vnd.openxmlformats-officedocument.spreadsheetml.sheet|application/vnd.ms-spreadsheetml|application/vnd.ms-excel|application/msexcel|application/x-tikaooxml|application/vnd.ms-excel.sheet.macroEnabled.12|application/x-msmetafile|application/x-emf|application/vnd.visio|application/x-tika-msoffice|application/vnd.visio|application/x-tika-msoffice|application/xml|application/vnd.visio|application/vnd.visio2013|application/x-tika-ooxml|application/vnd.ms-excel.sheet.macroEnabled.12|application/vnd.ms-visio.drawing|image/vnd.dwg|image/vnd.dxf|text/plain|application/vnd.ms-powerpoint|application/vnd.openxmlformats-officedocument.presentationml.presentation|application/zip|application/octetstream|application/vnd.ms-outlook|application/gzip|application/x-gzip|application/x-gunzip|application/gzipped|application/gzip-compressed|application/x-compressed|application/x-compress|gzip/document|application/octet-stream|application/x-rar-compressed|application/octet-stream|application/vnd.ms-outlook|text/plain|message/rfc822|text/html|image/jp2|image/jpeg2000|image/jpeg2000-image|image/x-jpeg2000-image|application/rtf|application/x-rtf|text/rtf|text/richtext|application/msword|application/doc|application/javascript|application/x-soffice|text/event-stream;charset=utf-8|application/json-patch-query+json|application/x-ndjson


","
NA",NA,TRUE,6/20/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.00,NEO,OUA,ITR15.5 Baseline + CDEX-236428,"
Platform Charts (22.12):
attbsse-aua- 10.4.4-prd15.5
ms360-security-10.7.79-25             
nap-common- 10.6.368            
persistence- 10.7.191-5        
platform- 10.7.193-33          platform-config- 10.7.87-7       ","

Build:http://os-delivery-jenkins:8080/job/Delivery/job/ATT_AUA/job/att/job/prd15.5/4/
Orchestration Zip:http://os-delivery-nexus:8081/repository/att.yum.snapshot/com/amdocs/oss/aua/attbsse/orchestration/10.4.0.0.0-prd15.5-SNAPSHOT/orchestration-10.4.0.0.0-prd15.5-20230630.103745-3-src.zip","
Reference Env:
Master IP =10.247.187.138
 Node1 IP = 10.247.187.188
OUA Simulators:
att_simulators_15.5.tar","
NA",NA,TRUE,6/20/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.00,D1,OC,CDEX-237261,"
NA","
NA","
Steps for Devops to delete pi_product_previous connectors:Exec into      pi-product-cbkc-plugin podsRun the following curl :      curl -k -vhttps://pi-product-cbkc-plugin-service:8443/connectorsif you get      pi_product_previous-* in the response, run the following curl to delete      these connectors : curl -k -v -X DELETEhttps://pi-product-cbkc-plugin-service:8443/connectors/pi_product_previous-<id      obtained from previous curl>run curl -k -vhttps://pi-product-cbkc-plugin-service:8443/connectors      again to check that no connectors are present with pi_product_previous-*","
NA",NA,TRUE,7/2/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.00,D1,OC,ITR15.5 Baseline,"


OC  HF#77","
NA","
NA","
5e5027ebcdf
",NA,TRUE,7/9/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.00,D1,OH,ITR15.5 Baseline,"
OH ?HF#38
","
?NA
","
?NA
","
e62a2364c4e
",NA,TRUE,7/9/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.00,R1,RTB,ITR15.5 Baseline,"


RTB HF#81","
NA","
NA","
9657dacdd88
",NA,TRUE,7/9/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.00,D1,OC,ITR15.5 Baseline,"
CE HF#9","
NA",,"
2e327eab999
",NA,TRUE,7/9/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.00,D1,OC,ITR15.5 Baseline,"

Mass HF#19","
NA","
NA","
fd525a26899
",NA,TRUE,7/9/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
